sample_id,canny_f1,canny_f1_strict
00000,0.035925904221011565,0.010719686906579531
00001,0.13273737459358534,0.046985793546139874
00002,0.1506395170132805,0.04530676555010258
00003,0.2591184950693307,0.08074587009451004
00004,0.12387504847068218,0.03736280083865239
00005,0.3861025107731539,0.13609255725190839
00006,0.3010510961868333,0.0955491998507791
00007,0.0629407285518797,0.018845766692763673
00008,0.026975844309843785,0.007993093403495584
00009,0.12375170413937767,0.03723522670118648
00010,0.42023148695783386,0.13903551937013509
00011,0.04596866203503616,0.01379567969081126
00012,0.13527714675182181,0.04624085163007319
00013,0.1293246026993791,0.041312814410126034
00014,0.11470053607467422,0.03721381765229351
00015,0.1129776898313061,0.03385067353912596
00016,0.047831463928358166,0.014748242534102073
00017,0.06156999591695959,0.018621419460751375
00018,0.021413461841018642,0.0061610688416057794
00019,0.03912148142227249,0.012806466283540745
00020,0.027663826039167033,0.008469101581295132
00021,0.29751625000623466,0.09284292360815585
00022,0.009369722310937379,0.0032496054316428933
00023,0.022033151478083775,0.007219541482835749
00024,0.06340440840977316,0.020797272012435804
00025,0.06688451356717406,0.019877493624425008
00026,0.07824955553050372,0.023127717243010205
00027,0.020003057022850695,0.006374529626996376
00028,0.20929057257845057,0.06973093552917849
00029,0.12222289928845063,0.038265070147489595
00030,0.028050370346864684,0.009788371176624469
00031,0.2695914669682246,0.08655932396939592
00032,0.008191510675279809,0.0011896107329323904
00033,0.09346361455642117,0.02851180181833992
00034,0.04762214907021657,0.014479840246163014
00035,0.026445381073265474,0.007771317971539381
00036,0.057853560527165435,0.017519527803760038
00037,0.011188723260319477,0.003356301266685962
00038,0.011459606483876509,0.0032404986197263285
00039,0.1370058007111835,0.041564104714314605
00040,0.21510546572242611,0.06856673855961097
00041,0.13717064533269147,0.04349865209202703
00042,0.21762123138050174,0.06611044967909672
00043,0.09277833403780619,0.028831795916658527
00044,0.04204729168312575,0.01261965575600894
00045,0.001313083512964076,0.0004499478886884019
00046,0.2395044208878121,0.07544083878514796
00047,0.5093732641466161,0.18419436891500746
00048,0.02144066889972934,0.00640188935404871
00049,0.1398569056927604,0.0444975556762629
00050,0.14869079395431653,0.04585022165360397
00051,0.2091630593674486,0.0654496723169262
00052,0.019804347011308253,0.006147701563467688
00053,0.042939948109445736,0.013321436322859141
00054,0.07180663142366019,0.02166294998407136
