sample_id,canny_edge_density,canny_f1,canny_f1_strict,canny_precision,canny_recall,canny_tol_px
00022,0.0005729198455810547,0.001843231195544863,0.000519275207205232,0.2580108198085726,0.000924919413320287,1
00027,0.05442070960998535,0.23017850296513065,0.07591993129417983,0.19096895166413297,0.28964892653561347,1
00057,0.0009970664978027344,0.02003153571489481,0.004005340453938585,0.03634624581539933,0.013825634352635003,1
00064,0.00573277473449707,0.1867555390896245,0.06571048893369381,0.5102932002495322,0.11429186195541335,1
00072,0.010748147964477539,0.12678439284750959,0.03922234004948745,0.3816241875734788,0.07601999840214617,1
00078,0.010009765625,0.06880239989212261,0.022556788544398316,0.5226753048780488,0.03682492577091071,1
00080,0.0009768009185791016,0.0288928814939689,0.013185412392694246,0.5394190871369294,0.014843984603204935,1
00101,0.0014536380767822266,0.012145572572465136,0.0037326943967210843,0.4784320157454486,0.006150859775598861,1
00106,0.0,0.0,0.0,0.0,0.0,1
00115,0.002184152603149414,0.019688764952810897,0.006121430551705018,0.17956554961248772,0.010415388839236166,1
00155,7.581710815429688e-05,0.0010722215048469112,0.00031004284690490836,0.5283018867924528,0.0005366553401021426,1
00160,0.0012288093566894531,0.009558466881895197,0.0033765889830508476,0.08440046565774156,0.005066105066105066,1
00166,0.001859426498413086,0.016889230392330052,0.005251221050055994,0.11398897294524939,0.009120269748735553,1
00169,0.0009765625,0.015812878499751323,0.001462800971299845,0.263916015625,0.008150616762674548,1
00174,0.012119770050048828,0.1009400896743988,0.031502733586169535,0.10113309989377188,0.1007478147629289,1
00176,0.0,0.0,0.0,0.0,0.0,1
00181,0.0019207000732421875,0.01170402962263879,0.0033717019579442525,0.4011916583912612,0.005938639256674258,1
00199,0.0025196075439453125,0.030489523464483338,0.009571622953127199,0.2421461014383043,0.016269007603041216,1
00206,0.002073049545288086,0.01698412246662791,0.008215509695414151,0.4945370902817711,0.008640432474002363,1
00210,0.0006184577941894531,0.005938504255106797,0.0018417225243455167,0.5497301464919044,0.0029853770155763982,1
00214,0.004335641860961914,0.03294334384154382,0.009638455888353872,0.20357437448446522,0.017921763085399448,1
00228,0.07466936111450195,0.510068646212746,0.17535500647981256,0.727692170148091,0.3926444492672216,1
00230,0.007920503616333008,0.11349949746523748,0.03800496400534585,0.4238283013756359,0.06552316782242136,1
00237,0.011142492294311523,0.15069348819316455,0.04602030468777529,0.3894083663207446,0.09342323432722811,1
00243,0.0006337165832519531,0.0003979148761536725,0.00010952752563628647,0.012415349887133182,0.00020219767960731816,1
00245,0.011711835861206055,0.18332264275159788,0.05782877849916956,0.29287706369724975,0.1334164929117082,1
00260,0.0011751651763916016,0.006353682839807785,0.0019369184402383184,0.08338405356055995,0.0033026695236100597,1
00264,0.0,0.0,0.0,0.0,0.0,1
00294,0.0,0.0,0.0,0.0,0.0,1
00315,0.011240243911743164,0.14440033714972142,0.04571990608541151,0.689532293986637,0.08064434979864069,1
00324,0.006963014602661133,0.036025797454353414,0.011040946820763335,0.03098784454716658,0.04301990261428639,1
00330,0.0010814666748046875,0.006260148605210898,0.0020788527032270117,0.1302910052910053,0.0032071212781479975,1
00391,4.7206878662109375e-05,0.00036651499697384,9.162874924346e-05,0.3838383838383838,0.00018334503364140123,1
00395,0.0009887218475341797,0.013749890352991822,0.004330658514838874,0.22811671087533156,0.007088579663775151,1
00399,0.0230712890625,0.3076761814809362,0.10112546087173066,0.44759631283068785,0.23440148057268217,1
00405,0.013470649719238281,0.14041485448386698,0.044252558520928,0.7284778761061947,0.0776953569347151,1
00423,0.0,0.0,0.0,0.0,0.0,1
00432,0.0039844512939453125,0.08744024619145162,0.02818049909462652,0.41580899952130207,0.04885719997334577,1
00434,0.0017819404602050781,0.02129305160832721,0.006555877420338466,0.30626170725180624,0.0110299584517822,1
