sample_id,canny_f1,canny_f1_strict,maniqa,musiq,niqe,qalign
00000,0.814448342304452,0.25992363416739744,0.38716259598731995,71.89810943603516,3.459366809288864,4.2734375
00001,0.6725190662401697,0.19907452038947268,0.30457741022109985,64.55150604248047,4.100104637662445,4.7734375
00002,0.8936670586057717,0.314889343176525,0.44492489099502563,73.14435577392578,3.107946819559225,4.828125
00003,0.6838062475113137,0.20584278875512985,0.3043287992477417,68.46893310546875,3.7020736374674272,4.77734375
00004,0.7544908626607567,0.24905875422600143,0.388034850358963,72.81793975830078,3.1486091727422463,4.015625
00005,0.809533740924636,0.23695299175650708,0.2992608845233917,68.12409973144531,3.6386397061632083,3.919921875
00006,0.4593675775299827,0.14003568264900002,0.26962581276893616,60.66910934448242,3.8072021105929434,3.421875
00007,0.8343373026109143,0.29895170082582434,0.3903183341026306,75.48348999023438,4.316848619418823,3.85546875
00008,0.8073939901159192,0.2692139087937821,0.45352017879486084,74.73873138427734,2.525618480793884,4.9140625
00009,0.8809940671782563,0.2961229560695338,0.4114506244659424,77.0209732055664,2.4463045331808417,4.93359375
00010,0.8299689760945309,0.23610642989898212,0.281401664018631,68.80040740966797,3.037677873960866,4.890625
00011,0.729662467356455,0.19711350121151697,0.36482349038124084,73.92138671875,3.5755988804585743,4.44140625
00012,0.8356840915815188,0.2796402747334894,0.3474302887916565,73.42239379882812,3.7699826580834497,4.08984375
00013,0.8229641248787993,0.24177428213118268,0.4777790904045105,71.84239959716797,1.983218522915412,4.6640625
00014,0.6710193679734249,0.23794708503322387,0.42556682229042053,70.1060562133789,4.614911078643233,3.91796875
00015,0.8210799148326386,0.24091507516374072,0.3232373297214508,67.98572540283203,4.090130313722066,3.8515625
00016,0.6703394683144817,0.22499638373055572,0.3787764608860016,68.97651672363281,3.397151144098904,3.685546875
00017,0.4712264625871032,0.16064165257529364,0.33185306191444397,64.98985290527344,4.758098489194909,2.736328125
00018,0.89364481646321,0.27199611918117805,0.42506375908851624,76.120361328125,3.1339886585205154,4.97265625
00019,0.6607450101108231,0.1746865287750509,0.38419705629348755,75.56488800048828,3.3917185141168855,4.9921875
00020,0.5542437436761016,0.15247449543754388,0.42645540833473206,75.35920715332031,3.5963598723574464,4.9765625
00021,0.8063611071721093,0.23231117233872475,0.32370525598526,71.6507568359375,2.8266131484984434,4.63671875
00022,0.7880518420562028,0.26512094265224057,0.42193275690078735,76.08024597167969,3.0540854560105353,4.44921875
