sample_id,canny_f1,canny_f1_strict,dists,lpips,maniqa,musiq,niqe,psnr,qalign,ssim
00000,0.7740811488995774,0.3087032091228963,0.34180641174316406,0.773780107498169,0.4821775555610657,69.89923095703125,6.273921121921387,15.967384338378906,4.0234375,0.5029713543141604
00001,0.4908583373603705,0.24255744255744255,0.25448060035705566,0.49225470423698425,0.46055349707603455,61.732872009277344,4.169754985656822,18.885513305664062,4.59765625,0.5771927957467113
00002,0.8623701939688913,0.35988832267158194,0.23975110054016113,0.5177208185195923,0.522835910320282,74.92304229736328,3.7354455769264305,12.255057334899902,4.3046875,0.3916018031836545
00003,0.6533890751676993,0.24875896304467732,0.31796205043792725,0.6400977373123169,0.4951463043689728,71.15203857421875,4.91827263215142,13.774421691894531,4.78515625,0.46439739525612544
00004,0.6208741775457546,0.23179903730445248,0.36828291416168213,0.7189282178878784,0.5403857231140137,68.35673522949219,4.969791195218821,10.715036392211914,3.763671875,0.5250632610600321
00005,0.8234507965543578,0.34992174366703377,0.3393790125846863,0.5536172986030579,0.40389484167099,68.80392456054688,3.330812810649907,9.123435020446777,3.765625,0.24826127544807614
00006,0.6956998261672023,0.3373072295745379,0.2833068370819092,0.5659690499305725,0.39459773898124695,67.38385772705078,3.636961829855275,10.188791275024414,3.232421875,0.47836225932117904
00007,0.9001907256560503,0.34689423730209384,0.29998254776000977,0.46513617038726807,0.4629054665565491,74.68451690673828,6.4676015787600045,15.776309967041016,3.560546875,0.3184812019518437
00008,0.8667515874088166,0.3700516145951294,0.22243458032608032,0.3403531312942505,0.49832266569137573,74.53113555908203,4.02205546455376,13.945158958435059,4.60546875,0.4435289632692255
00009,0.890515229593161,0.35883216089076864,0.2676875591278076,0.5420430898666382,0.5191924571990967,76.40648651123047,4.213686878986403,11.14448070526123,4.6015625,0.3002396653746248
00010,0.8488449433570093,0.36848040597688186,0.26740407943725586,0.46664923429489136,0.5133161544799805,70.2589340209961,2.780657250019206,8.3506498336792,4.72265625,0.23983091272407633
00011,0.8389920459019445,0.4631970988924826,0.23590028285980225,0.4586420953273773,0.5177413821220398,75.80705261230469,3.6762952026791975,9.69555950164795,4.0546875,0.49638867139369824
00012,0.863749066803051,0.3517888552576362,0.3372821807861328,0.6343364119529724,0.34833815693855286,72.22795104980469,6.034041624953762,11.431960105895996,3.26171875,0.20097008976628225
00013,0.7208008271049519,0.3172186792840979,0.2718322277069092,0.4395297169685364,0.5311936140060425,73.36476135253906,3.233500471471011,12.509439468383789,4.08984375,0.364190898779609
00014,0.8655810403110301,0.35469756834875765,0.30589503049850464,0.5847285389900208,0.5103801488876343,72.22260284423828,5.25446799310167,13.466907501220703,3.8046875,0.6503487599518193
00015,0.7907529091879152,0.4205357142857143,0.24551993608474731,0.3573688566684723,0.5030599236488342,66.3946762084961,3.314376814308057,14.94112777709961,3.720703125,0.5835223172600408
