sample_id,canny_edge_density,canny_f1,canny_f1_strict,canny_precision,canny_recall,canny_tol_px,depth_mse,depth_rmse,maniqa,musiq,niqe,qalign
00022,0.16606354713439941,0.8598266756658531,0.2856533071712799,0.7812887192202389,0.9559191078356907,4,248.54381749950605,15.765272515865561,0.40729519724845886,76.59579467773438,2.3328024701628065,4.6640625
00027,0.03268289566040039,0.7456925742128819,0.24445996303631953,0.6106782801534848,0.9573528205969171,4,73.77191119772796,8.589057643171802,0.3717276453971863,71.70172882080078,3.938814358278022,4.75390625
00057,0.002963542938232422,0.6571027468041598,0.18868645383127583,0.8555913113435237,0.533366980708838,4,28.950598467928383,5.380576034954657,0.24344846606254578,60.3692626953125,5.465495782953998,4.421875
00064,0.02505040168762207,0.7467351160839618,0.23109263415347836,0.8970200534886599,0.6395810003732736,4,10.539343362175915,3.2464354856020035,0.2614143490791321,72.05562591552734,3.9662519434901222,4.90625
00072,0.054578304290771484,0.9122809486206188,0.28998146643005196,0.8868153662009978,0.9392522976873818,4,15.667132605410075,3.958172887256199,0.392709881067276,74.04084014892578,2.5752939600968405,4.9375
00078,0.16088080406188965,0.8824022995191922,0.29463815897805573,0.8067200863092283,0.9737548291577024,4,7.969431018206427,2.823018069054186,0.43409115076065063,77.45426177978516,2.1637775279990934,4.92578125
00080,0.03394293785095215,0.8817440140052692,0.2821202231858697,0.8538565819326108,0.9115145887297786,4,64.72168553395034,8.044978902020212,0.22920386493206024,69.7564926147461,5.0551967783391705,4.296875
00101,0.12223148345947266,0.7416723541207413,0.24459395571870693,0.6000905055044512,0.9706916788084831,4,21.211765433428678,4.605623240499453,0.273318350315094,69.62025451660156,4.578630147947939,4.23828125
00106,0.10410666465759277,0.8987998994091916,0.27747206736298213,0.8467279660143592,0.95769613447965,4,46.36312856306813,6.809047551828973,0.38471904397010803,76.29138946533203,3.605469393664087,4.921875
00115,0.03921389579772949,0.8417468167420392,0.24996036234105298,0.8318954248366013,0.8518343271973036,4,15.986457327060512,3.9983068075199673,0.29178693890571594,72.04151916503906,3.4529809798516924,4.88671875
00155,0.09454464912414551,0.8783287303760131,0.27655953476509887,0.8421708288256937,0.9177307333551818,4,26.380500465112448,5.136195135030643,0.3332858383655548,75.51185607910156,2.3660188988609776,4.71875
00160,0.01917886734008789,0.8020868221290699,0.22473018809744064,0.8700181497227817,0.7439953961084086,4,8.915632450579997,2.985905633234245,0.18387624621391296,62.029232025146484,4.760402989787158,3.544921875
00166,0.023659467697143555,0.8852036307013277,0.27847964728248414,0.8788431500982516,0.8916568483063328,4,35.08794877343875,5.923508147494924,0.4145332872867584,72.67721557617188,4.775271704445125,4.375
00169,0.03167557716369629,0.9482447209915463,0.32838650543216663,0.9128611966249426,0.9864818650824669,4,45.973570303095755,6.78038128006794,0.325741708278656,72.54493713378906,4.721585030491126,4.5625
00174,0.012676715850830078,0.677567091530879,0.18914848913857002,0.7263306375775813,0.6349392731758231,4,5.98149696585436,2.4457099104052302,0.21273577213287354,62.96834945678711,3.830126870646788,3.8515625
