sample_id,depth_mse,depth_rmse,dists,lpips,maniqa,musiq,niqe,psnr,qalign,ssim
00022,1450.7801219682215,38.08910765518433,0.25742191076278687,0.7315261363983154,0.5901187658309937,75.06340026855469,4.044898902961795,11.803641319274902,4.62109375,0.1364458723833037
00027,3077.657552051964,55.47663969683063,0.3341096043586731,0.8466541767120361,0.6397897601127625,71.23104858398438,4.5510959456641205,7.205121994018555,4.63671875,0.14642437565475985
00057,510.9452878441672,22.604098916881583,0.26334482431411743,0.5702977180480957,0.575920820236206,72.96537780761719,3.9246878953042525,11.58997631072998,4.52734375,0.3347911079533861
00064,555.0547125457196,23.559599159275177,0.2875518202781677,0.6619938611984253,0.4332714378833771,75.38763427734375,3.1621386467624157,10.292356491088867,4.46484375,0.2995886826201841
00072,628.8747571208085,25.07737540335528,0.21103554964065552,0.49150359630584717,0.6400619745254517,74.12649536132812,3.613397708209048,10.116632461547852,4.8515625,0.26387736638622833
00078,151.99058221937057,12.328446058582184,0.26356106996536255,0.5981221795082092,0.6911776065826416,74.76736450195312,3.7745623588004182,11.994885444641113,4.3671875,0.30665036413830826
00080,1949.1902411429999,44.1496346660196,0.3241822123527527,0.6663367748260498,0.4661468267440796,68.15990447998047,3.7667463185781545,9.36230754852295,2.90625,0.25313955039191904
00101,1599.8345829541936,39.99793223348169,0.27954691648483276,0.6297587156295776,0.5421926975250244,73.7562484741211,3.588512980433501,9.454924583435059,4.3203125,0.14019741105945951
00106,1948.124217742955,44.13756016980271,0.25718212127685547,0.6573372483253479,0.6174241304397583,75.01301574707031,2.5822327320106218,9.782613754272461,4.9453125,0.1834433038438459
00115,2294.6090809031602,47.90207804368366,0.2321586012840271,0.593968391418457,0.6154258847236633,73.47337341308594,4.405806576256333,9.741966247558594,4.25390625,0.2421077212851656
00155,450.9300126802228,21.235112730574865,0.325156569480896,0.7384851574897766,0.5558540225028992,70.25920104980469,3.2237811100688107,7.507050514221191,4.55078125,0.22792361971049557
