sample_id,canny_edge_density,canny_f1,canny_f1_strict,canny_precision,canny_recall,canny_tol_px,maniqa,musiq,niqe,qalign
00022,0.1744523048400879,0.7243875933406541,0.2319560271428893,0.6838415975815423,0.7700447005932708,4,0.3732038140296936,76.5816879272461,3.4692637154679673,4.86328125
00027,0.03532052040100098,0.559737249329124,0.13576632554670956,0.4778966553039252,0.6754007461462774,4,0.3884044289588928,75.41729736328125,4.404264219482597,4.91796875
00057,0.00281524658203125,0.30425623366401877,0.06307736720554273,0.4393631436314363,0.2326996410946613,4,0.2982429265975952,61.38650894165039,7.2802349034297595,4.5625
00064,0.02649712562561035,0.5278090625942641,0.13960105451494756,0.6425402881128697,0.44784278959810875,4,0.3193339407444,71.01631927490234,3.825218758984132,4.96875
00072,0.06810426712036133,0.5376128379924034,0.14085383799946347,0.5070330824435498,0.5721179368923985,4,0.432569295167923,74.57601928710938,3.5249588915847867,4.953125
00078,0.17379474639892578,0.825425218446789,0.2727308564107618,0.7578565274889293,0.9062218058158096,4,0.44036710262298584,75.48992156982422,3.275529037059082,4.92578125
00080,0.04647469520568848,0.48713015033653295,0.11694316539186873,0.4581770798598464,0.5199892478373491,4,0.37014034390449524,68.79692077636719,4.752584000702847,4.17578125
00101,0.08933520317077637,0.5353439748337765,0.1342818570101708,0.4566625478050382,0.64678241864983,4,0.3217148780822754,72.55415344238281,3.5714293091875042,4.12890625
00106,0.0789785385131836,0.5738952255828598,0.14198941567100187,0.6574443035681942,0.5091869324303525,4,0.3468288779258728,75.48685455322266,3.277701423884106,4.95703125
00115,0.13046979904174805,0.5326192916391531,0.16935930543708153,0.39209290426328963,0.8301432460461499,4,0.32686537504196167,67.12146759033203,4.047620682581134,4.078125
00155,0.09847760200500488,0.6327556551388328,0.16709092245329607,0.6061930298151533,0.661752842413089,4,0.28607887029647827,75.34357452392578,3.0604157608158604,4.78515625
00160,0.03241777420043945,0.40753198743431895,0.0861062732560678,0.39374126645583585,0.4223238070419273,4,0.33637428283691406,71.65437316894531,4.52007896759214,4.078125
00166,0.03631901741027832,0.48794902905370136,0.11879235633932721,0.4693730183217031,0.5080559646539028,4,0.365888386964798,73.31844329833984,4.3882835497049495,4.60546875
