sample_id,depth_mse,depth_rmse
00000,710.8873097383959,26.6624700607126
00001,1999.9601745270904,44.72091428545586
00002,1928.780609323296,43.917884845735635
00003,1511.0942118426967,38.87279526664756
00004,722.5038764191972,26.87943221906291
00005,1960.247063297439,44.2746774499537
00006,3515.5553814497403,59.29211905008743
00007,1164.470961417106,34.124345582254115
00008,213.29127710713985,14.604495099356905
00009,552.1852817256741,23.498622975095245
00010,1501.5925679382487,38.75038797145454
00011,2633.570133855751,51.31832161962968
00012,409.5807109736164,20.23810047839511
00013,536.61888130902,23.165035750221065
00014,5130.26768401373,71.62588696842595
00015,2098.056941494564,45.804551536878556
00016,74.57147868056197,8.63547790690023
00017,1109.1554145668279,33.30398496526846
00018,796.1446944797276,28.216036122739276
00019,1074.1629452064162,32.77442516973282
00020,518.3289393914235,22.76683859018251
00021,905.6308575845018,30.09370129419945
00022,1276.3763292944973,35.726409409490024
00023,161.86343694576897,12.722556226866084
00024,410.41919385974535,20.25880534137552
00025,697.2188727915807,26.40490243859236
00026,354.12860679287905,18.818305098836056
00027,2164.1892901222036,46.52084790846147
00028,202.86767087085238,14.243162249685017
00029,731.0251003175025,27.037475849596287
00030,2098.5125944790125,45.80952515011493
00031,254.66893040250287,15.95834986464775
00032,2119.9980878098786,46.04343696782288
00033,244.09073641057978,15.623403483574883
00034,549.1910798702488,23.434826218050965
00035,492.07642008172786,22.182795587610862
00036,1121.1716181191919,33.483900879664425
00037,1160.5209590958827,34.06641981623374
00038,1179.1695252767468,34.33903792008079
00039,1514.8844637901223,38.921516720062726
00040,492.5602775507572,22.193699050648522
00041,750.0451522856135,27.38695222702982
00042,1534.9732052841875,39.17873409496774
00043,3174.044617395097,56.33866006034486
00044,2348.1963744089876,48.458192025796706
00045,1536.9114059961155,39.20346165832955
00046,6719.313356589741,81.97141792472387
00047,189.9054984524304,13.780620394322979
00048,624.4382023136957,24.98876152020535
00049,339.1409968978534,18.415781191626202
00050,3696.4032807397684,60.798053264391356
00051,262.748725555625,16.20952576590768
00052,761.4274686105186,27.59397522305401
00053,721.5797792239928,26.862237048019526
00054,1713.0932104501258,41.38953020330293
