sample_id,canny_f1,canny_f1_strict,canny_tol_px
00000,0.49127944939095763,0.25362766504284345,1
00001,0.4526396145341632,0.2317298005092516,1
00002,0.7906340948397174,0.4551490931969207,1
00003,0.5801735247133948,0.3508808514253497,1
00004,0.7153440581052682,0.43997071504108026,1
00005,0.555965142969823,0.2692105617021159,1
00006,0.14234038498057816,0.05759205456306279,1
00007,0.8640745764667221,0.5443948741100016,1
00008,0.7990792231145519,0.48723409419877894,1
00009,0.7447560385344786,0.4079889856531431,1
00010,0.5916571141884913,0.2724712618585765,1
00011,0.4680838959720579,0.2071394228472994,1
00012,0.6687751832896889,0.3531227209400185,1
00013,0.684917523570143,0.3569858466044053,1
00014,0.6256164609174845,0.3757193070122142,1
00015,0.5376373598131836,0.2549128104595829,1
00016,0.6723989791282629,0.4200771330248012,1
00017,0.2379057832853033,0.1226982218566095,1
00018,0.7807547587916664,0.47710495393361396,1
00019,0.5090260045595981,0.29006659370420523,1
00020,0.19301333851164165,0.09292403614228809,1
00021,0.527502864407395,0.25239240240773314,1
00022,0.7577906508637853,0.4778266578670042,1
00023,0.4736652203385439,0.20886437952580858,1
00024,0.5550097171398918,0.25515574501711635,1
00025,0.5303102700725193,0.3051373098348373,1
00026,0.12625501591887175,0.04749717183225154,1
00027,0.43302248613944777,0.2093445233310105,1
00028,0.3103808593706046,0.12876353285865727,1
00029,0.505267654642944,0.21727223879490837,1
00030,0.6240808491384426,0.42317150321057834,1
00031,0.49740893779828843,0.2976622118669581,1
00032,0.5027507032443227,0.26438536000306934,1
00033,0.6782916238053263,0.4753125071558236,1
00034,0.5503368440291487,0.2650793650793651,1
00035,0.7507933680800115,0.4780238888068098,1
00036,0.8161304583938854,0.5255100203897941,1
00037,0.5437537289906594,0.2802178595479337,1
00038,0.5052162043838337,0.25690132415650485,1
00039,0.7347894856110136,0.40186222870120347,1
00040,0.5285450483400552,0.21938442523059506,1
00041,0.40832272005790293,0.2304747544964117,1
00042,0.6465419909731142,0.36581607318004045,1
00043,0.055107698229984535,0.02957926873474517,1
00044,0.27173409997989206,0.10882997807454654,1
00045,0.8362408488134302,0.4757880678918604,1
00046,0.3932707988985625,0.1781285496524651,1
00047,0.522471928335901,0.24480439100206142,1
00048,0.5621938994735782,0.2908142799839551,1
00049,0.3242781570969742,0.157435853600897,1
00050,0.5365336821386487,0.2313814196312654,1
00051,0.6607641810417438,0.3856775575176647,1
00052,0.423613633663091,0.22545396461217881,1
00053,0.4175219817659503,0.22926303166222803,1
00054,0.16775336060982396,0.08158879726859199,1
00055,0.5888431938752174,0.27668726049894427,1
00056,0.5684477178839207,0.28846092366319476,1
00057,0.45501772788946715,0.1888514614799522,1
00058,0.4368025010434093,0.19954613585106531,1
00059,0.7360022217756438,0.43889235318374287,1
00060,0.6015165699847277,0.3007853569795684,1
00061,0.6616126108869146,0.378449018221436,1
00062,0.4721834572785615,0.277696724170828,1
00063,0.586986283368207,0.3018647826912752,1
00064,0.6134583299818517,0.27717520531157974,1
00065,0.5565271842795528,0.2663328096643302,1
00066,0.6704829083625737,0.344820905615003,1
00067,0.44580378090997763,0.17596511046292707,1
00068,0.3528617387287737,0.15700548982166604,1
00069,0.3257826738697604,0.15666585425298563,1
00070,0.34641516982480985,0.1849423295649718,1
00071,0.4820582364676133,0.28547100966027095,1
00072,0.5632044450317335,0.2652034377236714,1
00073,0.6742491159598716,0.34223799341318534,1
00074,0.630752187619071,0.28344497281450803,1
00075,0.5110307752231681,0.3519969104257527,1
00076,0.5544379395346862,0.3224556428607742,1
00077,0.559703088557962,0.27054470508281847,1
00078,0.8369424059349039,0.4843092750180947,1
00079,0.5091512036201915,0.23297221608077234,1
00080,0.36451085245652026,0.177391609234444,1
00081,0.4367990932884332,0.18298432359202632,1
00082,0.5036085725455014,0.21775710594315245,1
00083,0.565879083199062,0.28909989083398124,1
00084,0.3887210861916418,0.21995390187685215,1
00085,0.44751269727347015,0.2048231046931408,1
00086,0.2029195518555979,0.08896014843497903,1
00087,0.44768250091133194,0.20229891261394808,1
00088,0.6815914563894444,0.48720637740440237,1
00089,0.5045467890405128,0.23689527556429835,1
00090,0.6174217656563485,0.294366572691123,1
00091,0.6944046720493771,0.4091572304649413,1
00092,0.7715130709569267,0.4270679649847546,1
00093,0.44452286129079266,0.21727211897515594,1
00094,0.4956653046391487,0.28511645977096556,1
00095,0.45040043061524637,0.17416199286685016,1
00096,0.850427811663345,0.5358425671179906,1
00097,0.5229597434822492,0.23666817255163983,1
00098,0.45768512921939414,0.22817037158559594,1
00099,0.7228929963785923,0.4273153730384348,1
00100,0.4208607413043892,0.19656496327755,1
00101,0.599957727100831,0.3780763035079074,1
00102,0.7234591904231955,0.4108036005510849,1
00103,0.4480230983142108,0.18856830302201558,1
00104,0.22352784882340976,0.11447555619303842,1
00105,0.3761441454408875,0.1838168705196888,1
00106,0.5501728520100478,0.2612862540971185,1
00107,0.3596375402573064,0.18469461647374166,1
00108,0.6689892440954514,0.35824804772760344,1
00109,0.5821803793346765,0.3389065056333466,1
00110,0.4777683359473619,0.2387744011643567,1
00111,0.5296137681745288,0.30646582421358354,1
00112,0.436824621501266,0.2142614312425633,1
00113,0.4454184226035257,0.21747234759241912,1
00114,0.479128836281679,0.19086273660918296,1
00115,0.5896046962186322,0.3235033743200576,1
00116,0.6798374124174724,0.3868856668813334,1
00117,0.7417056053877299,0.42860331760241416,1
00118,0.6125972805809914,0.3697456758276284,1
00119,0.6071770839045524,0.2941126115522075,1
00120,0.5122703758325479,0.22559738398247714,1
00121,0.5759067634543635,0.2955429012643567,1
00122,0.6369935353710534,0.354880538894782,1
00123,0.5419828696646152,0.29940738370150777,1
00124,0.6578598577449448,0.38499265493407,1
00125,0.4726678409840404,0.2578784005842615,1
00126,0.514970990067384,0.2718872846173629,1
00127,0.21869624282365885,0.09731584454773319,1
